Mon-Yr,CA,Alameda,Amador,Butte,Calaveras,Contra-Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Tulare,Tuolumne,Ventura,Yolo,Yuba,,Los Angeles Metropolitan Area,S.F. Bay Area,Inland Empire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-11,"$279,220","$363,750","$160,000","$180,000","$163,333","$257,930","$225,000","$279,545","$136,020","$190,000","$244,790","$127,000","$147,140","$107,500",,"$305,570","$146,150","$657,890","$193,333","$225,000","$100,620","$625,000","$251,850","$313,890","$236,538","$511,590","$262,778",NA,"$197,550","$169,838","$279,000","$138,040","$370,100","$632,936","$166,129","$342,450","$575,000","$362,500","$524,000","$425,000","$152,140","$145,000","$192,170","$338,090","$132,962","$175,714","$140,000","$113,330","$153,749","$411,760","$223,809","$128,571",,"$268,940","$386,390","$173,720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-11,"$271,370","$392,660","$200,000","$190,000","$153,333","$267,270","$216,666","$248,999","$141,360","$85,000","$238,890","$125,000","$154,000","$123,330",,"$286,100","$149,230","$632,580","$174,999","$200,000","$117,270","$562,500","$231,000","$354,760","$228,124","$496,540","$268,852",NA,"$203,640","$167,633","$285,000","$131,470","$367,770","$645,454","$163,210","$328,750","$591,500","$380,000","$520,000","$452,000","$162,110","$140,000","$191,780","$315,340","$131,428","$137,777","$83,330","$120,340","$192,499","$389,650","$231,999","$122,500",,"$266,830","$379,250","$174,041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-11,"$286,550","$420,420","$170,000","$222,370","$170,000","$273,350","$140,000","$278,333","$138,120","$110,000","$250,000","$127,500","$137,270","$94,170",,"$282,170","$133,530","$826,700","$216,666","$192,500","$115,290","$1,125,000","$255,900","$332,610","$211,363","$523,610","$254,268",NA,"$201,520","$167,457","$247,500","$130,690","$383,620","$764,535","$155,698","$362,700","$666,950","$436,360","$550,250","$465,000","$154,810","$107,500","$193,480","$325,910","$135,483","$135,262","$125,000","$121,950","$151,428","$443,920","$221,153","$150,833",,"$272,600","$418,980","$172,730",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-11,"$294,140","$390,960","$130,000","$217,040","$157,142","$286,320","$125,000","$278,124","$130,200","$125,000","$225,000","$126,750","$136,150","$98,330",,"$290,600","$135,380","$726,060","$225,000","$225,000","$103,890","$474,999","$255,000","$306,820","$208,333","$530,140","$270,482",NA,"$199,230","$168,378","$261,000","$128,900","$378,230","$721,311","$163,222","$390,180","$700,000","$400,000","$578,000","$460,000","$153,330","$120,000","$189,120","$332,650","$134,090","$157,999","$110,000","$111,600","$171,111","$448,440","$241,071","$137,777",,"$277,300","$421,770","$169,460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-11,"$292,850","$415,830","$171,250","$222,620","$147,500","$283,950","$160,000","$262,000","$136,850","$122,000","$250,000","$135,000","$137,690","$105,560",,"$271,540","$116,670","$807,140","$180,000","$281,250","$111,850","$541,667","$250,000","$377,270","$252,941","$544,700","$255,488",NA,"$200,000","$166,243","$275,000","$127,380","$382,300","$701,922","$162,375","$381,450","$800,000","$428,950","$599,950","$436,250","$151,110","$100,000","$191,850","$353,750","$136,785","$146,363","$117,500","$117,960","$181,429","$425,000","$236,666","$131,111",,"$276,680","$440,330","$172,110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-11,"$296,410","$415,300","$152,500","$221,050","$198,332","$299,360","$208,333","$295,454","$135,490","$100,000","$243,750","$140,000","$154,000","$85,620",,"$301,300","$122,000","$843,080","$208,333","$181,430","$114,210","$450,000","$285,000","$350,000","$226,562","$534,680","$267,134",NA,"$202,910","$165,329","$249,000","$129,570","$377,550","$742,646","$165,000","$364,750","$735,000","$428,570","$623,000","$537,500","$156,840","$140,000","$189,790","$327,430","$137,634","$154,545","$87,500","$121,520","$166,000","$443,290","$236,538","$142,727",,"$276,230","$454,370","$172,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-11,"$297,660","$420,150","$170,000","$196,430","$150,000","$292,620","$173,333","$265,150","$137,100","$142,500","$233,000","$139,950","$114,280","$118,890",,"$317,060","$92,500","$761,030","$180,000","$214,280","$113,080","$583,333","$250,000","$334,780","$222,368","$551,510","$265,200",NA,"$200,910","$168,090","$242,500","$133,950","$375,330","$739,753","$161,810","$355,620","$729,900","$415,620","$607,000","$470,000","$154,700","$143,330","$190,560","$333,490","$130,220","$142,000","$131,430","$114,230","$177,500","$421,880","$235,580","$141,538",,"$279,280","$432,080","$171,670",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-11,"$297,060","$407,420","$145,000","$201,320","$163,750","$294,060","$110,000","$277,680","$141,500","$96,428","$223,860","$133,950","$130,000","$123,640",,"$312,900","$128,750","$806,550","$196,666","$201,920","$126,670","$500,000","$252,000","$354,760","$210,000","$508,910","$264,690",NA,"$202,060","$166,680","$239,900","$135,030","$369,390","$698,629","$159,320","$352,310","$742,000","$421,430","$595,000","$490,000","$162,920","$116,670","$197,880","$339,200","$140,540","$148,000","$123,330","$124,680","$161,110","$424,400","$233,040","$124,000",,"$275,100","$430,350","$173,670",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-11,"$288,700","$390,440","$130,000","$197,690","$161,429","$282,000","$190,000","$238,750","$139,030","$154,999","$250,000","$131,000","$141,670","$120,000",,"$330,610","$125,380","$786,580","$170,000","$220,000","$120,000","$350,000","$280,000","$331,820","$225,000","$500,000","$263,020",NA,"$199,890","$164,120","$272,500","$130,820","$364,180","$654,850","$165,970","$369,770","$640,000","$356,520","$569,100","$500,000","$167,920","$113,330","$188,790","$355,670","$133,910","$149,000","$131,250","$122,940","$152,000","$415,220","$235,420","$125,000",,"$273,660","$413,160","$170,650",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-11,"$277,450","$391,710","$147,140","$186,150","$180,000","$275,710","$163,333","$256,580","$140,100","$95,000","$228,950","$134,000","$138,180","$96,500",,"$307,970","$132,500","$781,250","$220,000","$260,710","$121,430","$374,999","$266,000","$330,430","$214,285","$484,390","$255,900",NA,"$195,760","$163,160","$268,000","$132,210","$357,380","$739,918","$156,710","$364,540","$672,000","$328,570","$549,000","$467,500","$146,500","$150,000","$191,050","$322,600","$133,290","$146,470","$112,500","$123,080","$175,000","$399,160","$202,080","$107,500",,"$266,650","$398,100","$171,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
