DATE,BASKET PRICE
2/1/2011,229.981
4/1/2011,234.121
6/1/2011,233.646
8/1/2011,234.608
10/1/2011,235.331
12/1/2011,234.327
2/1/2012,236.88
4/1/2012,238.985
6/1/2012,239.806
8/1/2012,241.17
10/1/2012,242.834
12/1/2012,239.533
2/1/2013,242.677
4/1/2013,244.675
6/1/2013,245.935
8/1/2013,246.072
10/1/2013,246.617
12/1/2013,245.711
2/1/2014,248.615
4/1/2014,251.495
6/1/2014,253.317
8/1/2014,253.354
10/1/2014,254.503
12/1/2014,252.273
2/1/2015,254.91
4/1/2015,257.622
6/1/2015,259.117
8/1/2015,259.917
10/1/2015,261.019
12/1/2015,260.289
2/1/2016,262.6
4/1/2016,264.565
6/1/2016,266.041
8/1/2016,267.853
10/1/2016,270.306
12/1/2016,269.483
2/1/2017,271.626
4/1/2017,274.589
6/1/2017,275.304
8/1/2017,275.893
10/1/2017,277.57
12/1/2017,277.414
2/1/2018,281.308
4/1/2018,283.422
6/1/2018,286.062
8/1/2018,287.664
10/1/2018,289.673
12/1/2018,289.896
2/1/2019,291.227
,
1/1/2011,233.5374
1/1/2012,239.868
1/1/2013,245.2811667
1/1/2014,252.2595
1/1/2015,258.8123333
1/1/2016,266.808
1/1/2017,275.3993333
1/1/2018,286.3375
